cluster_a,cluster_b,links,keywords_a,keywords_b
2,21,3,"revisão, bônus, fracionamento","utilizado, laboratorial, técnica"
2,60,3,"revisão, bônus, fracionamento","armazenagem, local, lotes"
8,71,3,"doccob, transportadora, conhecimento","fpv, preço venda, cálculo"
8,137,3,"doccob, transportadora, conhecimento","icms, sped, fiscal"
58,129,3,"engenharia, estruturação produto, desenvolvimento produto","remessa, industrialização, retorno"
58,100,3,"engenharia, estruturação produto, desenvolvimento produto","lote, balanceado, quantidade"
25,108,3,"patchs, pegada, frigolaste","distribuição pedidos, vendas distribuição, entrega"
117,122,3,"cartão, emissão, componente","pesagem, compensação, ofs"
27,87,3,"caixas, aproveitamento, lote","fábrica lançamentos, lançamentos apontamento, apontamento ordem"
67,74,3,"rotulo, ler, caixa","etiqueta, emissão, unidade produto"
46,51,3,"relatório, resumo produção, apontamento rótulos","mail assunto, email, abaixo"
13,29,3,"evento, autor, leiaute","detalhamento teste, login, user"
86,111,3,"medida, unidade, qtde","importação, edi, arquivo"
76,84,3,"qtde, medição, metragem","lotes, painel, fracionar"
92,115,3,"formula, tinta, materiais","rendimento, custo, listar"
52,68,3,"descritivos técnicos, doc, curtume","custeio, soubach, couro"
76,115,3,"qtde, medição, metragem","rendimento, custo, listar"
107,116,3,"operações, propriedade, tempo padrão","processo, recurso, relatório"
46,52,3,"relatório, resumo produção, apontamento rótulos","descritivos técnicos, doc, curtume"
76,104,3,"qtde, medição, metragem","apontamento, funcionário, desvio processo"
39,41,3,"tablas, schneider, una","situação, ocorrida, sobre"
72,85,3,"largura, equivocada, duramas","localização, futuro, estoque"
68,71,3,"custeio, soubach, couro","fpv, preço venda, cálculo"
130,131,3,"consignação, depósito, operação","retorno, industrialização, deposito"
131,142,3,"retorno, industrialização, deposito","fiscais, notas, fiscal saída"
27,123,3,"caixas, aproveitamento, lote","abastecimento, ofs, consumo"
95,119,3,"sql, movimento, estoque","mestre produção, plano mestre, manufatura plano"
22,39,3,"saldo saldo, alterado, prev","tablas, schneider, una"
93,119,3,"semi, acabado, ofs","mestre produção, plano mestre, manufatura plano"
75,119,3,"select, código, tabela","mestre produção, plano mestre, manufatura plano"
64,68,3,"produtos fabricação, mês, geração produtos","custeio, soubach, couro"
12,102,3,"manutenção, preventiva, maquina","encerramento, períodos, mês"
88,133,3,"flush, back, baixa","requisição, centro custo, baixa"
92,134,3,"formula, tinta, materiais","abastecimento, suprimentos planejamento, materiais"
51,75,3,"mail assunto, email, abaixo","select, código, tabela"
64,75,3,"produtos fabricação, mês, geração produtos","select, código, tabela"
69,98,3,"arezzo, importação, romaneio","ora, mensagem, erro"
131,144,3,"retorno, industrialização, deposito","faturamento, liberação, estabelecimento"
129,136,3,"remessa, industrialização, retorno","entrada, chave, smart"
77,143,3,"email, envio, mails","danfe, monitor, fiscais"
108,146,3,"distribuição pedidos, vendas distribuição, entrega","recebimento notas, fiscal, suprimentos recebimento"
91,95,3,"localização, estoque, reserva","sql, movimento, estoque"
8,143,3,"doccob, transportadora, conhecimento","danfe, monitor, fiscais"
