cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
84,72,"compras, comprador, alçada, aprovação, suprimentos, data saída",COMP,0.81,COMP:47 PEDI:5 VEND:4 ADMI:2,pedido:50 documentacao:16 email:6,26,0.28,0.771,"Pedido de Compras (COMP3) — categoria ped compra, tratar a configuração, compras novo"
85,18,"pré, recebimento, pre, recebido, compra, recebida",COMP,1.0,COMP:8,pedido:14 documentacao:4,4,0.5,0.863,PRÉ - RECEBIMENTO PEDIDO DE COMPRA - SISTEMA DEVE VERIFICAR SE EXISTE NOTA AGUARDANDO
86,26,"desconto, valor unitário, liquido, negativo, constam, faturamento",PEDI,0.44,PEDI:4 FATU:3 ADMI:2,pedido:17 documentacao:5 email:4,13,0.31,0.826,Liberação Pedidos Faturamento (PEDI44) — LIBERAÇÃO PEDIDOS VENDA FATURAMENTO - IDENTIFICAR MOTIVO DE ESTAR SENDO LEVADO DESCONTO
87,24,"diferença, custo médio, estoque, inventario, custo entrada, movimento",ESTO,0.43,ESTO:3 FATU:3 COMP:1,email:10 pedido:8 documentacao:6,11,0.42,0.787,"DIFERENÇA INVENTÁRIO FEVEREIRO/2017 Oi Herta,"
88,75,"cri, ajuste, divergência, inventariado, inventário, estoque",ESTO,0.91,ESTO:29 ADMI:2 CONT:1,pedido:41 documentacao:19 email:15,25,0.23,0.782,"Lançamento Produto Inventariado CRI (ESTO67) — produtos com unidade, rotativo de inventário, permitir o controle"
89,94,"estoque futuro, localização, produção estoque, lote produção, consulta estoque, estoque produto",MPSP,0.41,MPSP:16 PEDI:10 ESTO:9 ADMI:1,pedido:50 documentacao:24 email:18 teste:2,28,0.29,0.774,Consulta Estoque Produto (ESTO7) — APONTAMENTO DE ORDEM DE FABRICAÇÃO - TRATAR RESERVA DE ESTOQUE FUTURO QUANDO OCORRER
90,52,"material, materiais, componente, configurador, cartela, produto acabado",EPRO,0.86,EPRO:30 MPSP:3 PEDI:2,email:19 documentacao:18 pedido:15,12,0.23,0.783,Situação ocorrida no Henrich em 02/2012
91,25,"posição estoque, relatório, saldos rótulo, suprimentos estoque, formato data, data alguns",ESTO,1.0,ESTO:22,pedido:13 email:10 documentacao:2,9,0.4,0.814,Relatório Posição Estoque (ESTO13) — RELATORIO POSIÇÃO DE ESTOQUE - MUDAR A LOGICA DE COMO O RELATORIO TRATA O ESTOQUE…
92,29,"reclassificação, transferência localizações, lançamentos transferência, localizações multi, multi produtos, suprimentos estoque",ESTO,0.93,ESTO:26 CFAB:2,pedido:14 email:9 documentacao:6,12,0.28,0.772,ESTO144 — Suprimentos Estoque Lançamentos
93,38,"encerramento, encerrado, períodos, meses, mês, estoque",ESTO,0.84,ESTO:27 ADMI:5,email:20 documentacao:13 pedido:5,6,0.61,0.8,"Encerramento Estoque (ESTO69) — Encerramento de Estoques Bom dia, Andrei,"
94,35,"custo médio, unitário, suprimentos estoque, estoque relatórios, relatórios controle, controle produção",ESTO,0.8,ESTO:12 FATU:2 VEND:1,pedido:26 documentacao:7 email:2,14,0.23,0.795,Registro Controle Produção e Estoque (ESTO19) — ESTO19 - CALCULAR A QUANTIDADE DA CONSIGNAÇÃO JUNTO AO CÁLCULO DO CUSTO MÉDIO Rotina
95,16,"dólares, moeda, valor, reais, estrangeira, diferença",FATU,0.5,FATU:1 COMP:1,pedido:7 email:7 documentacao:2,6,0.31,0.822,"usuário poderá substituir, total moeda estrangeira, salvando a mesma"
96,40,"coleção, estruturação produto, sub, engenharia, barras, coleções",EPRO,0.92,EPRO:34 FATU:2 ADMI:1,pedido:33 documentacao:7,11,0.7,0.79,Estruturação de Produto (EPRO15) — ESTRUTURAÇÃO DE PRODUTO - AO COPIAR/COLAR UM PRODUTO EM QUE A UM DO FILHO DEVERÁ SER…
97,58,"engenharia, desenvolvimento produto, estruturação produto, grade, variação, manufatura",EPRO,0.94,EPRO:45 MPSP:3,pedido:58,21,0.4,0.811,"Estruturação de Produto (EPRO15) — alterar uma grade, variação de consumo, algum material"
98,62,"rota, pedidos faturamento, liberação pedidos, fiscais liberação, distribuição faturamento, faturamento notas",FATU,0.92,FATU:48 PEDI:2 RECE:1 CFAB:1,pedido:55 documentacao:6 email:1,14,0.63,0.831,Liberação Pedidos Faturamento por Rota (FATU153) — LIBERAÇÃO PEDIDOS FATURAMENTO POR ROTA - FATU153 - CRIAR OPÇÃO DE ORDENAÇÃO DOS PEDIDOS…
99,60,"back flush, flush materiais, apontamento, baixa, talão, realiza back",ESTO,0.29,ESTO:2 MPSP:2 EPRO:1 CFAB:1,pedido:34 documentacao:23 email:3,15,0.43,0.806,ROTINA BACK FLUSH DE BAIXA DE CONSUMO/ABASTECIMENTO DE MATERIAIS: EFETUAR DESENVOLVIMENTO…
100,28,"instrução, embarque, caixas, origem, quantidade, entrega",PEDI,1.0,PEDI:20,documentacao:12 pedido:10 email:6,11,0.43,0.785,"Pedido de Venda (PEDI1) — Tratar o controle de Lote (para produtos configurados com ""Controle de Lote""), para…"
101,24,"recursos, filtro, semana, processo, recurso base, cortado",CFAB,0.86,CFAB:18 MPSP:2 PREC:1,pedido:13 email:8 documentacao:3,9,0.46,0.793,Estoque Intermediário e Faturamento (CFAB98) — Complemento quanto ao acima
102,42,"centro custo, requisição, contábil, centros, informada, conta",ESTO,0.76,ESTO:22 ADMI:6 COMP:1,pedido:32 documentacao:7 email:3,17,0.26,0.822,Requisição Informada (ESTO4) — ESTO4 - ERRO ESTA DEIXANDO SER CONFIRMADO UMA REQUISIÇÃO COM O CENTRO DE CUSTO ERRADO
103,17,"embarque parcial, reserva, aceita embarque, pedidos, mínima, produzir",PEDI,1.0,PEDI:14,pedido:12 documentacao:4 email:1,6,0.71,0.822,"Alteração Categoria Entrega (PEDI80) — pedidos que aceitam, aceita embarque parcial, venda a flag"
104,38,"cancelamento, entrega, cancelar, rótulo, cancelada, distribuição pedidos",PEDI,0.88,PEDI:29 VEND:2 MPSP:1 FATU:1,pedido:28 documentacao:5 email:5,13,0.58,0.836,Pedido de Compras (PEDI3) — CANCELAMENTO DE ENTREGA PEDIDO VENDA - PEDI3 - AO EFETUARMOS O APONTAMENTO E EXCLUÍRMOS…
